id,idade,genero,cor_raca_etnia,pcd,vive_no_brasil,estado_onde_mora,uf_onde_mora,regiao_onde_mora,regiao_de_origem,nivel_ensino,area_de_formacao,situacao_atual_de_trabalho,setor,gestor,cargo_como_gestor,cargo_atual,nivel_senioridade,faixa_salarial,anos_experiencia_na_area_dados,anos_experiencia_anterior_ti,linguagens_no_trabalho,linguagem_preferida,bancos_de_dados_no_trabalho,cloud_no_trabalho,cloud_preferida
zzqzz3l9ily8nuo2m7wyzzqzz3w48o96,39,Masculino,Parda,Não,TRUE,Distrito Federal (DF),DF,Centro-oeste,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Setor Público,FALSE,,DBA/Administrador de Banco de Dados,Júnior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,de 7 a 10 anos,SQL,R,"PostgreSQL, Oracle, MySQL, SQL SERVER","Azure (Microsoft), Cloud Própria",Amazon Web Services (AWS)
zzls2oftfn9law393oezzls2ofhvfpzd,32,Masculino,Parda,Não,TRUE,Pará (PA),PA,Norte,,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Outra Opção,TRUE,Supervisor/Coordenador,,,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Menos de 1 ano,,,,,
zzdwqzfqqp1ypc7ps6m0hzzdwqz292yi,53,Masculino,Branca,Não,TRUE,Distrito Federal (DF),DF,Centro-oeste,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,FALSE,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Mais de 10 anos,"Python, JavaScript",Python,"PostgreSQL, MySQL, Oracle, DB2",Cloud Própria,Amazon Web Services (AWS)
zzbqh3uy7yk7k9qmkzzbqtb4s9faqspl,27,Masculino,Branca,Não,TRUE,Minas Gerais (MG),MG,Sudeste,,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Setor Automotivo,FALSE,,Cientista de Dados/Data Scientist,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, R, Python",Python,Google BigQuery,"Google Cloud (GCP), Azure (Microsoft)",Não sei opinar
zzaf1m95yan929rb94wzzaf1mekhvhpg,46,Feminino,Branca,Não,TRUE,Pará (PA),PA,Norte,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Setor Público,FALSE,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de R$ 6.001/mês a R$ 8.000/mês,Não tenho experiência na área de dados,Mais de 10 anos,SQL,Python,Microsoft Access,Google Cloud (GCP),Amazon Web Services (AWS)
zz0nlhbd8oxyiyxzz0nlh7g4xkiaza5v,32,Feminino,Parda,Não,TRUE,Ceará (CE),CE,Nordeste,,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Servidor Público,Educação,FALSE,,Professor,Pleno,de R$ 2.001/mês a R$ 3.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não utilizo nenhuma das linguagens listadas,Python,Google BigQuery,Google Cloud (GCP),Google Cloud (GCP)
zytlxsdgalh22cgrijvzytlxa49i8yzx,21,Masculino,Parda,Não,TRUE,São Paulo (SP),SP,Sudeste,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Finanças ou Bancos,FALSE,,Analista de BI/BI Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Menos de 1 ano,"SQL, Python, SAS/Stata",Python,SQL SERVER,"Servidores On Premise/Não utilizamos Cloud, Cloud Própria",Não sei opinar
zyc0twzno2sm5or5ovoxzyc0twz0300d,31,Feminino,Branca,Não,TRUE,Rio Grande do Sul (RS),RS,Sul,,Graduação/Bacharelado,Ciências Sociais,Empregado (CLT),Tecnologia/Fábrica de Software,FALSE,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Menos de 1 ano,"SQL, JavaScript",Python,"PostgreSQL, SQLite, Amazon Athena",Amazon Web Services (AWS),Amazon Web Services (AWS)
zy4o5dk6iuxpdwgzy4o58xvd6ykwohrj,33,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Tecnologia/Fábrica de Software,FALSE,,Analista de BI/BI Analyst,Sênior,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Visual Basic/VBA",Python,Google BigQuery,Google Cloud (GCP),Google Cloud (GCP)
zxc3d314cn1c2ovmzxc34ha7nkw1na3j,,Feminino,Parda,Não,TRUE,Bahia (BA),BA,Nordeste,,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Educação,FALSE,,Professor,Pleno,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,SQL,R,SQL SERVER,Google Cloud (GCP),Google Cloud (GCP)
